Date,B1,B2,B3,B4,B5,P1
"Wednesday, September 24, 2025",15,31,45,49,53,19
"Monday, September 22, 2025",3,29,42,46,59,15
"Saturday, September 20, 2025",15,29,64,66,67,4
"Wednesday, September 17, 2025",7,30,50,54,62,20
"Monday, September 15, 2025",14,15,32,42,49,1
"Saturday, September 13, 2025",28,37,42,50,53,19
"Wednesday, September 10, 2025",2,24,45,53,64,5
"Monday, September 8, 2025",26,28,41,53,64,9
"Saturday, September 6, 2025",11,23,44,61,62,17
"Wednesday, September 3, 2025",3,16,29,61,69,22
"Monday, September 1, 2025",8,23,25,40,53,5
"Saturday, August 30, 2025",3,18,22,27,33,17
"Wednesday, August 27, 2025",9,12,22,41,61,25
"Monday, August 25, 2025",16,19,34,37,64,22
"Saturday, August 23, 2025",11,14,34,47,51,18
"Wednesday, August 20, 2025",31,59,62,65,68,5
"Monday, August 18, 2025",15,46,61,63,64,1
"Saturday, August 16, 2025",23,40,49,65,69,23
"Wednesday, August 13, 2025",4,11,40,44,50,4
"Monday, August 11, 2025",6,16,33,40,62,2
"Saturday, August 9, 2025",7,14,23,24,60,14
"Wednesday, August 6, 2025",15,27,43,45,53,9
"Monday, August 4, 2025",8,9,19,31,38,21
"Saturday, August 2, 2025",6,18,34,35,36,2
"Wednesday, July 30, 2025",4,15,35,50,64,8
"Monday, July 28, 2025",7,35,36,43,62,3
"Saturday, July 26, 2025",8,31,57,65,67,23
"Wednesday, July 23, 2025",2,18,19,25,35,25
"Monday, July 21, 2025",8,11,28,33,42,2
"Saturday, July 19, 2025",28,48,51,61,69,20
"Wednesday, July 16, 2025",4,21,43,48,49,22
"Monday, July 14, 2025",8,12,45,46,63,24
"Saturday, July 12, 2025",8,16,24,33,54,18
"Wednesday, July 9, 2025",5,9,25,28,69,5
"Monday, July 7, 2025",33,35,58,61,69,25
"Saturday, July 5, 2025",1,28,34,50,58,8
"Wednesday, July 2, 2025",7,19,21,54,63,21
"Monday, June 30, 2025",13,28,44,52,55,6
"Saturday, June 28, 2025",4,35,43,52,62,12
"Wednesday, June 25, 2025",2,12,37,51,61,22
"Monday, June 23, 2025",5,25,42,44,65,20
"Saturday, June 21, 2025",3,16,32,52,62,24
"Wednesday, June 18, 2025",23,29,50,64,67,11
"Monday, June 16, 2025",17,21,23,27,52,19
"Saturday, June 14, 2025",4,6,9,23,59,25
"Wednesday, June 11, 2025",13,25,29,37,53,3
"Monday, June 9, 2025",30,33,40,43,52,25
"Saturday, June 7, 2025",31,36,43,48,62,25
"Wednesday, June 4, 2025",5,17,23,35,45,24
"Monday, June 2, 2025",1,7,44,57,61,21
"Saturday, May 31, 2025",1,29,37,56,68,13
"Wednesday, May 28, 2025",23,27,32,35,59,11
"Monday, May 26, 2025",13,47,52,64,67,25
"Saturday, May 24, 2025",12,18,28,48,52,5
"Wednesday, May 21, 2025",9,29,31,34,43,2
"Monday, May 19, 2025",13,14,37,50,60,11
"Saturday, May 17, 2025",7,34,40,42,52,15
"Wednesday, May 14, 2025",4,10,24,29,53,4
"Monday, May 12, 2025",15,16,41,48,60,21
"Saturday, May 10, 2025",5,20,28,39,42,13
"Wednesday, May 7, 2025",14,15,30,40,59,20
"Monday, May 5, 2025",16,34,40,45,66,19
