Date,B1,B2,B3,B4,B5,P1
"Monday, February 6, 2023",5,11,22,23,69,7
"Saturday, February 4, 2023",2,8,15,19,58,10
"Wednesday, February 1, 2023",31,43,58,59,66,9
"Monday, January 30, 2023",1,4,12,36,49,5
"Saturday, January 28, 2023",2,18,23,27,47,15
"Wednesday, January 25, 2023",9,17,20,38,40,18
"Monday, January 23, 2023",12,31,47,58,60,23
"Saturday, January 21, 2023",5,14,19,46,64,22
"Wednesday, January 18, 2023",6,15,22,42,47,26
"Monday, January 16, 2023",4,14,33,39,61,3
"Saturday, January 14, 2023",24,26,39,47,57,23
"Wednesday, January 11, 2023",4,8,46,47,48,5
"Monday, January 9, 2023",18,43,48,60,69,14
"Saturday, January 7, 2023",35,36,44,45,67,14
"Wednesday, January 4, 2023",12,32,56,67,68,26
"Monday, January 2, 2023",7,9,12,31,62,22
"Saturday, December 31, 2022",18,37,44,50,64,11
"Wednesday, December 28, 2022",26,32,38,45,56,1
"Monday, December 26, 2022",17,41,47,60,61,17
"Saturday, December 24, 2022",17,37,46,54,67,8
"Wednesday, December 21, 2022",12,15,24,34,59,14
"Monday, December 19, 2022",7,37,55,65,67,12
"Saturday, December 17, 2022",33,56,64,66,68,12
"Wednesday, December 14, 2022",36,51,59,66,68,25
"Monday, December 12, 2022",16,31,50,55,61,9
"Saturday, December 10, 2022",9,23,47,49,68,19
"Wednesday, December 7, 2022",6,28,44,59,61,21
"Monday, December 5, 2022",35,45,47,54,55,14
"Saturday, December 3, 2022",6,13,33,36,37,7
"Wednesday, November 30, 2022",4,19,24,47,66,10
"Monday, November 28, 2022",29,30,32,48,50,20
"Saturday, November 26, 2022",15,30,47,50,51,3
"Wednesday, November 23, 2022",1,2,31,39,66,25
"Monday, November 21, 2022",1,6,40,51,67,2
"Saturday, November 19, 2022",7,28,62,63,64,10
"Wednesday, November 16, 2022",28,34,51,53,56,11
"Monday, November 14, 2022",19,35,53,54,67,21
"Saturday, November 12, 2022",16,20,44,57,58,6
"Wednesday, November 9, 2022",7,14,24,30,56,7
"Monday, November 7, 2022",10,33,41,47,56,10
"Saturday, November 5, 2022",28,45,53,56,69,20
"Wednesday, November 2, 2022",2,11,22,35,60,23
"Monday, October 31, 2022",13,19,36,39,59,13
"Saturday, October 29, 2022",19,31,40,46,57,23
"Wednesday, October 26, 2022",19,36,37,46,56,24
"Monday, October 24, 2022",18,23,35,45,54,16
"Saturday, October 22, 2022",19,25,48,55,60,18
"Wednesday, October 19, 2022",6,8,15,27,42,10
"Monday, October 17, 2022",19,30,36,46,60,25
"Saturday, October 15, 2022",32,37,40,58,62,15
"Wednesday, October 12, 2022",14,30,41,42,59,6
"Monday, October 10, 2022",3,6,11,17,22,11
"Saturday, October 8, 2022",13,43,53,60,68,5
"Wednesday, October 5, 2022",26,30,33,37,62,6
"Monday, October 3, 2022",2,16,22,55,63,22
"Saturday, October 1, 2022",8,21,22,65,69,26
"Wednesday, September 28, 2022",6,10,24,33,67,11
"Monday, September 26, 2022",13,20,31,33,59,20
"Saturday, September 24, 2022",3,9,21,24,29,14
"Wednesday, September 21, 2022",6,33,34,45,54,7
"Monday, September 19, 2022",7,15,36,46,67,7
"Saturday, September 17, 2022",5,25,36,51,61,1
"Wednesday, September 14, 2022",9,10,20,22,52,25
"Monday, September 12, 2022",6,14,16,34,66,25
"Saturday, September 10, 2022",38,42,56,68,69,4
"Wednesday, September 7, 2022",3,16,30,33,36,20
"Monday, September 5, 2022",4,7,32,55,64,25
"Saturday, September 3, 2022",18,27,49,65,69,9
"Wednesday, August 31, 2022",7,8,19,24,28,1
"Monday, August 29, 2022",13,36,43,61,69,18
"Saturday, August 27, 2022",2,18,56,60,65,14
"Wednesday, August 24, 2022",6,24,35,37,44,22
"Monday, August 22, 2022",12,27,34,55,67,9
"Saturday, August 20, 2022",5,9,11,16,66,7
"Wednesday, August 17, 2022",23,28,41,50,55,24
"Monday, August 15, 2022",20,24,47,50,63,5
"Saturday, August 13, 2022",19,24,35,43,62,2
"Wednesday, August 10, 2022",29,44,59,61,68,19
"Monday, August 8, 2022",32,45,51,57,58,12
"Saturday, August 6, 2022",8,15,46,56,68,3
"Wednesday, August 3, 2022",9,21,56,57,66,11
"Monday, August 1, 2022",15,21,31,36,65,16
"Saturday, July 30, 2022",4,17,57,58,68,12
"Wednesday, July 27, 2022",1,25,44,55,57,26
"Monday, July 25, 2022",25,37,38,39,65,5
"Saturday, July 23, 2022",39,41,54,59,62,12
"Wednesday, July 20, 2022",10,20,23,49,65,22
"Monday, July 18, 2022",14,34,36,50,58,5
"Saturday, July 16, 2022",3,18,23,32,57,21
"Wednesday, July 13, 2022",22,23,36,47,63,2
"Monday, July 11, 2022",4,26,34,37,52,9
"Saturday, July 9, 2022",14,22,42,46,52,24
"Wednesday, July 6, 2022",32,36,49,62,69,13
"Monday, July 4, 2022",15,16,24,31,56,4
"Saturday, July 2, 2022",9,10,37,59,62,26
"Wednesday, June 29, 2022",8,40,49,58,63,14
"Monday, June 27, 2022",11,13,18,30,37,16
"Saturday, June 25, 2022",6,12,20,27,32,4
"Wednesday, June 22, 2022",6,10,31,48,56,12
"Monday, June 20, 2022",3,44,61,63,69,13
"Saturday, June 18, 2022",10,19,40,45,58,25
"Wednesday, June 15, 2022",19,28,41,42,51,7
"Monday, June 13, 2022",2,27,42,44,51,25
"Saturday, June 11, 2022",18,20,26,53,69,5
"Wednesday, June 8, 2022",22,39,43,62,64,7
"Monday, June 6, 2022",2,10,35,44,46,4
"Saturday, June 4, 2022",14,16,36,52,60,16
"Wednesday, June 1, 2022",11,41,56,57,63,2
"Monday, May 30, 2022",27,28,51,68,69,22
"Saturday, May 28, 2022",2,39,50,61,66,15
"Wednesday, May 25, 2022",19,28,39,42,57,17
"Monday, May 23, 2022",1,33,37,39,42,26
"Saturday, May 21, 2022",14,15,25,52,58,11
"Wednesday, May 18, 2022",40,41,58,64,65,17
"Monday, May 16, 2022",7,15,22,36,64,13
"Saturday, May 14, 2022",6,40,41,45,52,9
"Wednesday, May 11, 2022",5,7,61,63,69,18
"Monday, May 9, 2022",18,30,35,52,56,5
"Saturday, May 7, 2022",4,5,6,28,67,10
"Wednesday, May 4, 2022",37,39,55,63,69,23
"Monday, May 2, 2022",18,27,33,39,44,8
"Saturday, April 30, 2022",14,21,37,44,63,1
"Wednesday, April 27, 2022",11,36,61,62,68,4
"Monday, April 25, 2022",12,18,20,39,61,10
"Saturday, April 23, 2022",10,39,47,49,56,8
"Wednesday, April 20, 2022",20,30,45,55,56,14
"Monday, April 18, 2022",8,33,55,59,62,18
"Saturday, April 16, 2022",15,21,32,62,65,26
"Wednesday, April 13, 2022",14,16,41,63,68,26
"Monday, April 11, 2022",5,7,24,31,34,4
"Saturday, April 9, 2022",6,16,31,62,66,18
"Wednesday, April 6, 2022",6,42,45,47,64,18
"Monday, April 4, 2022",2,32,39,46,69,6
"Saturday, April 2, 2022",6,28,47,58,59,18
"Wednesday, March 30, 2022",3,7,21,31,37,11
"Monday, March 28, 2022",11,18,39,58,62,3
"Saturday, March 26, 2022",2,10,50,59,61,6
"Wednesday, March 23, 2022",31,32,37,38,48,24
"Monday, March 21, 2022",1,15,26,63,65,16
"Saturday, March 19, 2022",8,9,18,48,52,6
"Wednesday, March 16, 2022",3,28,34,35,58,17
"Monday, March 14, 2022",21,28,32,44,49,6
"Saturday, March 12, 2022",19,20,37,39,61,8
"Wednesday, March 9, 2022",13,22,34,51,67,10
"Monday, March 7, 2022",10,43,55,59,67,2
"Saturday, March 5, 2022",8,23,37,52,63,13
"Wednesday, March 2, 2022",19,37,48,61,63,12
"Monday, February 28, 2022",7,21,39,47,55,19
"Saturday, February 26, 2022",15,32,36,48,64,19
"Wednesday, February 23, 2022",6,17,21,35,64,18
"Monday, February 21, 2022",2,36,37,45,69,3
"Saturday, February 19, 2022",3,10,15,33,42,11
"Wednesday, February 16, 2022",22,30,40,42,48,16
"Monday, February 14, 2022",16,25,27,49,55,17
"Saturday, February 12, 2022",8,10,21,41,62,7
"Wednesday, February 9, 2022",2,17,33,51,63,26
"Monday, February 7, 2022",5,15,38,47,65,10
"Saturday, February 5, 2022",5,16,27,39,61,24
"Wednesday, February 2, 2022",18,29,33,62,63,15
"Monday, January 31, 2022",10,15,51,61,69,14
"Saturday, January 29, 2022",2,15,38,54,65,11
"Wednesday, January 26, 2022",4,11,38,49,69,16
"Monday, January 24, 2022",11,29,30,47,53,16
"Saturday, January 22, 2022",8,14,33,36,67,17
"Wednesday, January 19, 2022",11,15,43,55,61,10
"Monday, January 17, 2022",9,24,35,46,65,22
"Saturday, January 15, 2022",3,18,37,51,59,13
"Wednesday, January 12, 2022",12,21,22,30,33,24
"Monday, January 10, 2022",14,17,18,21,27,9
"Saturday, January 8, 2022",20,21,36,60,65,13
"Wednesday, January 5, 2022",6,14,25,33,46,17
"Monday, January 3, 2022",2,13,32,33,48,22
"Saturday, January 1, 2022",6,12,39,48,50,7
"Wednesday, December 29, 2021",2,6,9,33,39,11
"Monday, December 27, 2021",36,38,45,62,64,19
"Saturday, December 25, 2021",27,29,45,55,58,2
"Wednesday, December 22, 2021",7,16,19,48,68,15
"Monday, December 20, 2021",2,13,23,34,66,2
"Saturday, December 18, 2021",2,6,24,51,61,1
"Wednesday, December 15, 2021",19,20,40,42,59,15
"Monday, December 13, 2021",10,30,37,53,59,4
"Saturday, December 11, 2021",3,25,44,53,64,10
"Wednesday, December 8, 2021",3,7,33,50,69,24
"Monday, December 6, 2021",3,21,38,50,59,6
"Saturday, December 4, 2021",10,40,45,56,67,2
"Wednesday, December 1, 2021",12,15,38,57,63,24
"Monday, November 29, 2021",18,26,28,38,47,17
"Saturday, November 27, 2021",8,32,55,64,66,10
"Wednesday, November 24, 2021",10,16,32,63,65,17
"Monday, November 22, 2021",7,20,29,38,67,22
"Saturday, November 20, 2021",40,43,48,59,69,19
"Wednesday, November 17, 2021",3,16,48,52,60,1
"Monday, November 15, 2021",5,31,34,51,53,23
"Saturday, November 13, 2021",8,15,26,35,45,9
"Wednesday, November 10, 2021",19,25,43,46,48,14
"Monday, November 8, 2021",21,46,47,57,62,8
"Saturday, November 6, 2021",8,30,48,57,64,9
"Wednesday, November 3, 2021",1,2,24,50,57,26
"Monday, November 1, 2021",9,25,34,44,45,8
"Saturday, October 30, 2021",5,23,28,43,56,19
"Wednesday, October 27, 2021",3,6,26,35,51,17
"Monday, October 25, 2021",10,27,29,44,58,24
"Saturday, October 23, 2021",10,30,51,57,63,20
"Wednesday, October 20, 2021",7,29,36,41,43,5
"Monday, October 18, 2021",30,32,48,53,63,12
"Saturday, October 16, 2021",30,31,41,42,48,3
"Wednesday, October 13, 2021",23,29,47,59,60,15
"Monday, October 11, 2021",11,20,33,39,65,24
"Saturday, October 9, 2021",12,17,30,45,62,5
"Wednesday, October 6, 2021",1,17,52,58,64,1
"Monday, October 4, 2021",12,22,54,66,69,15
"Saturday, October 2, 2021",28,38,42,47,52,1
"Wednesday, September 29, 2021",2,7,11,17,32,11
"Monday, September 27, 2021",21,22,39,44,60,12
"Saturday, September 25, 2021",22,23,37,62,63,19
"Wednesday, September 22, 2021",20,40,47,55,63,5
"Monday, September 20, 2021",37,51,54,58,60,19
"Saturday, September 18, 2021",5,36,39,45,57,11
"Wednesday, September 15, 2021",1,4,18,46,62,25
"Monday, September 13, 2021",37,40,50,61,63,21
"Saturday, September 11, 2021",20,31,38,40,49,21
"Wednesday, September 8, 2021",9,22,41,47,61,21
"Monday, September 6, 2021",11,20,22,33,54,24
"Saturday, September 4, 2021",32,35,40,52,54,1
"Wednesday, September 1, 2021",10,20,29,48,51,17
"Monday, August 30, 2021",3,15,45,51,61,8
"Saturday, August 28, 2021",12,22,26,46,59,26
"Wednesday, August 25, 2021",27,39,54,56,59,24
"Monday, August 23, 2021",17,36,47,60,61,15
"Saturday, August 21, 2021",16,28,36,39,59,4
"Wednesday, August 18, 2021",35,36,51,55,61,26
"Monday, August 16, 2021",,,,,,
"Saturday, August 14, 2021",6,21,49,65,67,18
"Wednesday, August 11, 2021",12,18,20,29,30,16
"Monday, August 9, 2021",,,,,,
"Saturday, August 7, 2021",7,24,36,54,60,23
"Wednesday, August 4, 2021",5,21,32,36,58,14
"Monday, August 2, 2021",,,,,,
"Saturday, July 31, 2021",1,21,22,34,47,4
"Wednesday, July 28, 2021",25,30,53,59,60,5
"Monday, July 26, 2021",,,,,,
"Saturday, July 24, 2021",1,4,11,59,67,10
"Wednesday, July 21, 2021",27,28,44,67,68,11
"Monday, July 19, 2021",,,,,,
"Saturday, July 17, 2021",15,22,38,54,66,3
"Wednesday, July 14, 2021",33,46,52,59,62,10
"Monday, July 12, 2021",,,,,,
"Saturday, July 10, 2021",1,5,29,54,62,3
"Wednesday, July 7, 2021",8,21,30,49,57,8
"Monday, July 5, 2021",,,,,,
"Saturday, July 3, 2021",26,40,41,55,65,24
"Wednesday, June 30, 2021",24,29,50,65,66,14
"Monday, June 28, 2021",,,,,,
"Saturday, June 26, 2021",8,31,39,43,60,17
"Wednesday, June 23, 2021",13,20,40,51,63,1
"Monday, June 21, 2021",,,,,,
"Saturday, June 19, 2021",4,22,35,38,39,20
"Wednesday, June 16, 2021",19,29,34,44,50,25
"Monday, June 14, 2021",,,,,,
"Saturday, June 12, 2021",8,25,34,38,41,10
"Wednesday, June 9, 2021",19,28,46,50,54,9
"Monday, June 7, 2021",,,,,,
"Saturday, June 5, 2021",44,52,54,64,69,26
"Wednesday, June 2, 2021",6,7,11,66,67,19
"Monday, May 31, 2021",,,,,,
"Saturday, May 29, 2021",11,13,22,27,46,20
"Wednesday, May 26, 2021",2,8,21,34,62,16
"Monday, May 24, 2021",,,,,,
"Saturday, May 22, 2021",3,19,27,37,40,8
"Wednesday, May 19, 2021",11,13,55,56,69,4
"Monday, May 17, 2021",,,,,,
"Saturday, May 15, 2021",4,10,37,39,69,24
"Wednesday, May 12, 2021",1,19,20,38,54,17
"Monday, May 10, 2021",,,,,,
"Saturday, May 8, 2021",12,17,20,21,26,8
"Wednesday, May 5, 2021",16,23,28,40,63,1
"Monday, May 3, 2021",,,,,,
"Saturday, May 1, 2021",35,36,47,61,63,3
"Wednesday, April 28, 2021",16,18,35,39,53,21
"Monday, April 26, 2021",,,,,,
"Saturday, April 24, 2021",22,36,48,59,61,22
"Wednesday, April 21, 2021",21,25,32,63,67,6
"Monday, April 19, 2021",,,,,,
"Saturday, April 17, 2021",10,21,26,41,49,25
"Wednesday, April 14, 2021",13,30,33,45,61,14
"Monday, April 12, 2021",,,,,,
"Saturday, April 10, 2021",14,16,23,50,53,3
"Wednesday, April 7, 2021",27,35,39,51,66,16
"Monday, April 5, 2021",,,,,,
"Saturday, April 3, 2021",1,12,17,39,53,5
"Wednesday, March 31, 2021",3,10,44,55,68,24
"Monday, March 29, 2021",,,,,,
"Saturday, March 27, 2021",6,14,38,39,65,6
"Wednesday, March 24, 2021",4,9,17,27,38,18
"Monday, March 22, 2021",,,,,,
"Saturday, March 20, 2021",1,6,22,42,61,4
"Wednesday, March 17, 2021",34,38,42,61,62,19
"Monday, March 15, 2021",,,,,,
"Saturday, March 13, 2021",5,11,51,56,61,2
"Wednesday, March 10, 2021",17,18,37,44,53,18
"Monday, March 8, 2021",,,,,,
"Saturday, March 6, 2021",11,31,50,52,58,18
"Wednesday, March 3, 2021",21,40,44,50,55,16
"Monday, March 1, 2021",,,,,,
"Saturday, February 27, 2021",2,28,31,44,52,18
"Wednesday, February 24, 2021",4,33,43,53,65,21
"Monday, February 22, 2021",,,,,,
"Saturday, February 20, 2021",4,8,22,32,58,4
"Wednesday, February 17, 2021",1,15,21,32,46,1
"Monday, February 15, 2021",,,,,,
"Saturday, February 13, 2021",20,28,33,63,68,20
"Wednesday, February 10, 2021",15,39,58,63,67,7
"Monday, February 8, 2021",,,,,,
"Saturday, February 6, 2021",1,16,48,49,65,8
"Wednesday, February 3, 2021",5,37,40,64,66,5
"Monday, February 1, 2021",,,,,,
"Saturday, January 30, 2021",1,2,7,52,61,4
"Wednesday, January 27, 2021",17,33,35,42,52,9
"Monday, January 25, 2021",,,,,,
"Saturday, January 23, 2021",5,8,17,27,28,14
"Wednesday, January 20, 2021",40,53,60,68,69,22
"Monday, January 18, 2021",,,,,,
"Saturday, January 16, 2021",14,20,39,65,67,2
"Wednesday, January 13, 2021",4,19,23,25,49,14
"Monday, January 11, 2021",,,,,,
"Saturday, January 9, 2021",14,26,38,45,46,13
"Wednesday, January 6, 2021",1,20,22,60,66,3
"Monday, January 4, 2021",,,,,,
"Saturday, January 2, 2021",3,4,11,41,67,5
"Wednesday, December 30, 2020",3,43,45,61,65,14
"Monday, December 28, 2020",,,,,,
"Saturday, December 26, 2020",10,24,27,35,53,18
"Wednesday, December 23, 2020",6,13,38,39,53,6
"Monday, December 21, 2020",,,,,,
"Saturday, December 19, 2020",27,32,34,43,52,13
"Wednesday, December 16, 2020",4,23,37,61,67,7
"Monday, December 14, 2020",,,,,,
"Saturday, December 12, 2020",17,54,56,63,69,20
"Wednesday, December 9, 2020",11,14,31,47,48,4
"Monday, December 7, 2020",,,,,,
"Saturday, December 5, 2020",3,4,6,48,53,10
"Wednesday, December 2, 2020",28,31,40,41,46,4
"Monday, November 30, 2020",,,,,,
"Saturday, November 28, 2020",8,12,18,44,51,18
"Wednesday, November 25, 2020",2,57,58,60,65,26
"Monday, November 23, 2020",,,,,,
"Saturday, November 21, 2020",51,54,57,60,69,11
